Table 1,Offender Count,Ethnicity,Age Group,Police District
1 Age Ethnicity Boundary,1,Maori,15-19,Auckland City
1 Age Ethnicity Boundary,2,Maori,15-19,Auckland City
1 Age Ethnicity Boundary,1,Maori,20-24,Auckland City
1 Age Ethnicity Boundary,1,Maori,35-39,Auckland City
1 Age Ethnicity Boundary,1,Maori,15-19,Auckland City
1 Age Ethnicity Boundary,1,Maori,25-29,Auckland City
1 Age Ethnicity Boundary,1,Maori,30-34,Auckland City
1 Age Ethnicity Boundary,1,Maori,30-34,Auckland City
1 Age Ethnicity Boundary,1,Maori,30-34,Auckland City
1 Age Ethnicity Boundary,1,Maori,35-39,Auckland City
1 Age Ethnicity Boundary,1,Maori,35-39,Auckland City
1 Age Ethnicity Boundary,2,Maori,40-44,Auckland City
1 Age Ethnicity Boundary,1,Maori,40-44,Auckland City
1 Age Ethnicity Boundary,1,Maori,45-49,Auckland City
1 Age Ethnicity Boundary,1,Maori,55-59,Auckland City
1 Age Ethnicity Boundary,1,Maori,70-74,Auckland City
1 Age Ethnicity Boundary,1,Maori,30-34,Auckland City
1 Age Ethnicity Boundary,1,Maori,15-19,Auckland City
1 Age Ethnicity Boundary,1,Maori,15-19,Auckland City
1 Age Ethnicity Boundary,1,Maori,20-24,Auckland City
1 Age Ethnicity Boundary,2,Maori,25-29,Auckland City
1 Age Ethnicity Boundary,1,Maori,30-34,Auckland City
1 Age Ethnicity Boundary,3,Maori,30-34,Auckland City
1 Age Ethnicity Boundary,2,Maori,30-34,Auckland City
1 Age Ethnicity Boundary,1,Maori,35-39,Auckland City
1 Age Ethnicity Boundary,2,Maori,35-39,Auckland City
1 Age Ethnicity Boundary,1,Maori,40-44,Auckland City
1 Age Ethnicity Boundary,1,Maori,40-44,Auckland City
1 Age Ethnicity Boundary,1,Maori,50-54,Auckland City
1 Age Ethnicity Boundary,1,Maori,50-54,Auckland City
1 Age Ethnicity Boundary,1,Maori,55-59,Auckland City
1 Age Ethnicity Boundary,1,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,40-44,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,40-44,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,45-49,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,4,Maori,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,5,Maori,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,35-39,Bay Of Plenty
