Importance of culture,Participation in modern cultural practices,Age group,Sex,Value,Flags
"Very important","Total","15-24","Total",26500,
"Quite important","Total","15-24","Total",37500,
"Somewhat important","Total","15-24","Total",38500,
"A little important","Total","15-24","Total",31000,
"Not at all important","Total","15-24","Total",13500,
"Don't know / refused","Total","15-24","Total",,s
"Total","Total","15-24","Total",147500,
"Very important","Total","25-34","Total",20000,
"Quite important","Total","25-34","Total",21000,
"Somewhat important","Total","25-34","Total",27000,
"A little important","Total","25-34","Total",19000,
"Not at all important","Total","25-34","Total",7500,
"Don't know / refused","Total","25-34","Total",,s
"Total","Total","25-34","Total",94500,
"Very important","Total","35-44","Total",26500,
"Quite important","Total","35-44","Total",20500,
"Somewhat important","Total","35-44","Total",23500,
"A little important","Total","35-44","Total",19000,
"Not at all important","Total","35-44","Total",8500,
"Total","Total","35-44","Total",98500,
"Very important","Total","45-54","Total",25000,
"Quite important","Total","45-54","Total",18000,
"Somewhat important","Total","45-54","Total",21000,
"A little important","Total","45-54","Total",16500,
"Not at all important","Total","45-54","Total",9000,
"Total","Total","45-54","Total",89500,
"Very important","Total","55+","Total",29000,
"Quite important","Total","55+","Total",21000,
"Somewhat important","Total","55+","Total",18000,
"A little important","Total","55+","Total",18000,
"Not at all important","Total","55+","Total",14000,
"Don't know / refused","Total","55+","Total",500,*
"Total","Total","55+","Total",100000,
"Very important","Total","Total","Total",127000,
"Quite important","Total","Total","Total",117500,
"Somewhat important","Total","Total","Total",128000,
"A little important","Total","Total","Total",103500,
"Not at all important","Total","Total","Total",52500,
"Don't know / refused","Total","Total","Total",1000,*
"Total","Total","Total","Total",530000,
